name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_slow_crc32/8",10337809,64.7135,64.6533,ns,,,,,
"BM_slow_crc32/8",10337809,61.8879,61.8595,ns,,,,,
"BM_slow_crc32/8",10337809,63.8616,63.8552,ns,,,,,
"BM_slow_crc32/8",10337809,66.221,66.191,ns,,,,,
"BM_slow_crc32/8",10337809,62.4302,62.402,ns,,,,,
"BM_slow_crc32/8",10337809,63.0747,63.0736,ns,,,,,
"BM_slow_crc32/8",10337809,59.073,59.0449,ns,,,,,
"BM_slow_crc32/8",10337809,60.5133,60.4567,ns,,,,,
"BM_slow_crc32/8",10337809,61.138,61.137,ns,,,,,
"BM_slow_crc32/8",10337809,61.5677,61.5191,ns,,,,,
"BM_slow_crc32/8_mean",10337809,62.4481,62.4192,ns,,,,,
"BM_slow_crc32/8_median",10337809,62.1591,62.1307,ns,,,,,
"BM_slow_crc32/8_stddev",10337809,2.10023,2.10061,ns,,,,,
"BM_slow_crc32/16",6267492,116.117,116.068,ns,,,,,
"BM_slow_crc32/16",6267492,118.138,118.132,ns,,,,,
"BM_slow_crc32/16",6267492,118.999,118.92,ns,,,,,
"BM_slow_crc32/16",6267492,115.622,115.562,ns,,,,,
"BM_slow_crc32/16",6267492,112.627,112.624,ns,,,,,
"BM_slow_crc32/16",6267492,112.574,112.569,ns,,,,,
"BM_slow_crc32/16",6267492,114.661,114.574,ns,,,,,
"BM_slow_crc32/16",6267492,113.922,113.802,ns,,,,,
"BM_slow_crc32/16",6267492,120.035,120.015,ns,,,,,
"BM_slow_crc32/16",6267492,116.706,116.696,ns,,,,,
"BM_slow_crc32/16_mean",6267492,115.94,115.896,ns,,,,,
"BM_slow_crc32/16_median",6267492,115.87,115.815,ns,,,,,
"BM_slow_crc32/16_stddev",6267492,2.57521,2.57777,ns,,,,,
"BM_slow_crc32/32",3063827,223.942,223.913,ns,,,,,
"BM_slow_crc32/32",3063827,232.025,232.009,ns,,,,,
"BM_slow_crc32/32",3063827,217.986,217.969,ns,,,,,
